,0,1,2
0,1999,08,28
1,1999,12,06
2,1993,07,21
3,1991,02,12
4,1995,04,25
5,1992,08,22
6,1999,06,11
7,1993,01,27
8,1999,09,10
9,1990,05,03
10,1994,02,14
11,1988,04,27
12,1990,10,06
13,1985,02,12
14,1998,09,14
15,1994,08,30
16,1997,12,15
17,1995,08,23
18,1998,11,22
19,1997,04,09
20,1993,12,27
21,1999,01,14
22,1992,09,19
23,1993,03,02
24,1999,10,21
25,1990,08,31
26,1994,01,25
27,1990,02,09
28,1990,09,26
29,1993,05,08
30,1995,09,06
31,1991,02,18
32,1993,01,11
33,1990,07,22
34,1994,09,09
35,1994,07,27
36,1990,10,10
37,1990,09,05
38,1991,10,01
39,1994,10,25
